Fecha,Hora,Temp_C,Rel Hum_%
1/1/2012,0:00,-1.8,86
1/1/2012,1:00,-1.8,87
1/1/2012,2:00,-1.8,89
1/1/2012,3:00,-1.5,88
1/1/2012,4:00,-1.5,88
1/1/2012,5:00,-1.4,87
1/1/2012,6:00,-1.5,89
1/1/2012,7:00,-1.4,85
1/1/2012,8:00,-1.4,85
1/1/2012,9:00,-1.3,88
1/1/2012,10:00,-1,91
1/1/2012,11:00,-0.5,89
1/1/2012,12:00,-0.2,88
1/1/2012,13:00,0.2,87
1/1/2012,14:00,0.8,87
1/1/2012,15:00,1.8,85
1/1/2012,16:00,2.6,82
1/1/2012,17:00,3,81
1/1/2012,18:00,3.8,82
1/1/2012,19:00,3.1,88
1/1/2012,20:00,3.2,87
1/1/2012,21:00,4,85
1/1/2012,22:00,4.4,84
1/1/2012,23:00,5.3,79
1/2/2012,0:00,5.2,77
1/2/2012,1:00,4.6,72
1/2/2012,2:00,3.9,71
1/2/2012,3:00,3.7,69
1/2/2012,4:00,2.9,69
1/2/2012,5:00,2.6,70
1/2/2012,6:00,2.3,70
1/2/2012,7:00,2,70
1/2/2012,8:00,1.9,68
1/2/2012,9:00,1.8,67
1/2/2012,10:00,1.5,66
1/2/2012,11:00,2.2,66
1/2/2012,12:00,1.7,56
1/2/2012,13:00,1.1,57
1/2/2012,14:00,1.1,56
1/2/2012,15:00,0,59
1/2/2012,16:00,-0.7,55
1/2/2012,17:00,-2.1,57
1/2/2012,18:00,-4.1,57
1/2/2012,19:00,-4.8,57
1/2/2012,20:00,-5.6,54
1/2/2012,21:00,-5.8,58
1/2/2012,22:00,-7,54
1/2/2012,23:00,-7.4,59
1/3/2012,0:00,-9,57
1/3/2012,1:00,-9.7,54
1/3/2012,2:00,-10.5,65
1/3/2012,3:00,-11.3,54
1/3/2012,4:00,-12.6,53
1/3/2012,5:00,-12.9,60
1/3/2012,6:00,-13.3,61
1/3/2012,7:00,-14,63
1/3/2012,8:00,-14.8,58
1/3/2012,9:00,-15,56
1/3/2012,10:00,-15.3,56
1/3/2012,11:00,-14.9,54
1/3/2012,12:00,-14.9,52
1/3/2012,13:00,-15.1,54
1/3/2012,14:00,-14.9,50
1/3/2012,15:00,-14.8,53
1/3/2012,16:00,-15.3,52
1/3/2012,17:00,-15.8,53
1/3/2012,18:00,-16.3,52
1/3/2012,19:00,-16.9,50
1/3/2012,20:00,-17.3,49
1/3/2012,21:00,-17,52
1/3/2012,22:00,-17.1,52
1/3/2012,23:00,-17.3,55
1/4/2012,0:00,-17.5,56
1/4/2012,1:00,-17.9,58
1/4/2012,2:00,-18.1,61
1/4/2012,3:00,-18.5,59
1/4/2012,4:00,-18.5,59
1/4/2012,5:00,-18.6,62
1/4/2012,6:00,-18.5,61
1/4/2012,7:00,-18.2,60
1/4/2012,8:00,-17.8,57
1/4/2012,9:00,-16.8,61
1/4/2012,10:00,-15.2,63
1/4/2012,11:00,-14.2,56
1/4/2012,12:00,-13.7,51
1/4/2012,13:00,-12.4,53
1/4/2012,14:00,-11.3,53
1/4/2012,15:00,-10.2,61
1/4/2012,16:00,-9.4,61
1/4/2012,17:00,-8.9,71
1/4/2012,18:00,-8.9,75
1/4/2012,19:00,-8.4,71
1/4/2012,20:00,-7.8,71
1/4/2012,21:00,-7.6,73
1/4/2012,22:00,-9.5,77
1/4/2012,23:00,-9.6,79
1/5/2012,0:00,-8.8,79
1/5/2012,1:00,-7.5,81
1/5/2012,2:00,-5.4,80
1/5/2012,3:00,-5,81
1/5/2012,4:00,-4.1,83
1/5/2012,5:00,-7,82
1/5/2012,6:00,-8.2,82
1/5/2012,7:00,-7.1,82
1/5/2012,8:00,-6.1,79
1/5/2012,9:00,-6.6,76
1/5/2012,10:00,-6,73
1/5/2012,11:00,-5.6,70
1/5/2012,12:00,-4.7,69
1/5/2012,13:00,-4.4,66
1/5/2012,14:00,-5.1,65
1/5/2012,15:00,-4.3,55
1/5/2012,16:00,-5,55
1/5/2012,17:00,-6.7,56
1/5/2012,18:00,-7.1,56
1/5/2012,19:00,-9.2,61
1/5/2012,20:00,-9.8,62
1/5/2012,21:00,-9,63
1/5/2012,22:00,-9.9,63
1/5/2012,23:00,-9.4,61
1/6/2012,0:00,-9.6,56
1/6/2012,1:00,-10,55
1/6/2012,2:00,-10.5,61
1/6/2012,3:00,-10.6,64
1/6/2012,4:00,-11.3,68
1/6/2012,5:00,-11.8,71
1/6/2012,6:00,-12,71
1/6/2012,7:00,-14.4,85
1/6/2012,8:00,-12.3,73
1/6/2012,9:00,-12.5,71
1/6/2012,10:00,-12.3,72
1/6/2012,11:00,-12,72
1/6/2012,12:00,-11.7,74
1/6/2012,13:00,-11.9,74
1/6/2012,14:00,-11.2,75
1/6/2012,15:00,-11.5,79
1/6/2012,16:00,-11.6,78
1/6/2012,17:00,-11.2,78
1/6/2012,18:00,-10.5,78
1/6/2012,19:00,-10.5,79
1/6/2012,20:00,-10.2,80
1/6/2012,21:00,-9.5,79
1/6/2012,22:00,-9.3,79
1/6/2012,23:00,-9,79
1/7/2012,0:00,-8.7,79
1/7/2012,1:00,-8.5,80
1/7/2012,2:00,-8.1,79
1/7/2012,3:00,-7.8,79
1/7/2012,4:00,-7.5,79
1/7/2012,5:00,-6.9,80
1/7/2012,6:00,-6.7,80
1/7/2012,7:00,-7,81
1/7/2012,8:00,-6.4,82
1/7/2012,9:00,-6.1,82
1/7/2012,10:00,-5.7,84
1/7/2012,11:00,-5.4,84
1/7/2012,12:00,-5.5,84
1/7/2012,13:00,-4.8,83
1/7/2012,14:00,-4.4,83
1/7/2012,15:00,-3.7,83
1/7/2012,16:00,-3.6,84
1/7/2012,17:00,-3.1,84
1/7/2012,18:00,-3.2,85
1/7/2012,19:00,-3,86
1/7/2012,20:00,-1.8,87
1/7/2012,21:00,-1.3,88
1/7/2012,22:00,-1.5,89
1/7/2012,23:00,0.4,87
1/8/2012,0:00,0.6,76
1/8/2012,1:00,-0.6,74
1/8/2012,2:00,-1.7,71
1/8/2012,3:00,-3.5,69
1/8/2012,4:00,-4.4,69
1/8/2012,5:00,-5.9,70
1/8/2012,6:00,-5.8,68
1/8/2012,7:00,-5.6,69
1/8/2012,8:00,-5.9,69
1/8/2012,9:00,-6.4,65
1/8/2012,10:00,-6.5,67
1/8/2012,11:00,-7.1,65
1/8/2012,12:00,-6.7,66
1/8/2012,13:00,-6.5,63
1/8/2012,14:00,-6.5,65
1/8/2012,15:00,-6.6,61
1/8/2012,16:00,-6.6,59
1/8/2012,17:00,-7.2,59
1/8/2012,18:00,-8.1,62
1/8/2012,19:00,-8,62
1/8/2012,20:00,-8.3,65
1/8/2012,21:00,-8.3,64
1/8/2012,22:00,-8.7,65
1/8/2012,23:00,-9,68
1/9/2012,0:00,-9.2,66
1/9/2012,1:00,-9.8,68
1/9/2012,2:00,-9,66
1/9/2012,3:00,-8.8,70
1/9/2012,4:00,-8.5,69
1/9/2012,5:00,-8.4,71
1/9/2012,6:00,-7.7,72
1/9/2012,7:00,-6.8,72
1/9/2012,8:00,-5.9,70
1/9/2012,9:00,-5.4,75
1/9/2012,10:00,-4.8,76
1/9/2012,11:00,-3.7,77
1/9/2012,12:00,-2.5,73
1/9/2012,13:00,-1.7,74
1/9/2012,14:00,-1.4,76
1/9/2012,15:00,-1,74
1/9/2012,16:00,-1.3,72
1/9/2012,17:00,-1.4,72
1/9/2012,18:00,-1,71
1/9/2012,19:00,-1.1,70
1/9/2012,20:00,-1.5,70
1/9/2012,21:00,-1.7,71
1/9/2012,22:00,-0.3,64
1/9/2012,23:00,-0.2,64
1/10/2012,0:00,2.5,57
1/10/2012,1:00,2.3,66
1/10/2012,2:00,1.4,75
1/10/2012,3:00,1.6,77
1/10/2012,4:00,1.2,81
1/10/2012,5:00,0.8,86
1/10/2012,6:00,0.7,87
1/10/2012,7:00,1.5,85
1/10/2012,8:00,1.2,85
1/10/2012,9:00,1.6,84
1/10/2012,10:00,2,81
1/10/2012,11:00,2.6,77
1/10/2012,12:00,1.4,72
1/10/2012,13:00,0.7,64
1/10/2012,14:00,-0.2,64
1/10/2012,15:00,-1.4,61
1/10/2012,16:00,-3.1,55
1/10/2012,17:00,-4,54
1/10/2012,18:00,-4.9,54
1/10/2012,19:00,-5.7,53
1/10/2012,20:00,-6.4,53
1/10/2012,21:00,-6.6,57
1/10/2012,22:00,-7.3,55
1/10/2012,23:00,-8.6,57
1/11/2012,0:00,-9.5,55
1/11/2012,1:00,-10.7,56
1/11/2012,2:00,-12,56
1/11/2012,3:00,-12.7,57
1/11/2012,4:00,-13.4,57
1/11/2012,5:00,-13.9,55
1/11/2012,6:00,-14.4,57
1/11/2012,7:00,-14.4,57
1/11/2012,8:00,-14.7,57
1/11/2012,9:00,-14.3,58
1/11/2012,10:00,-13.9,55
1/11/2012,11:00,-13.4,54
1/11/2012,12:00,-12.7,53
1/11/2012,13:00,-12.2,52
1/11/2012,14:00,-11.4,52
1/11/2012,15:00,-11.6,50
1/11/2012,16:00,-11.8,47
1/11/2012,17:00,-11.9,51
1/11/2012,18:00,-12,52
1/11/2012,19:00,-11.8,54
1/11/2012,20:00,-11.2,57
1/11/2012,21:00,-11.2,65
